2018-05-16 14:07:19.326165     | rainbow-agent:v7     | running | 4000.69 | #1 | running | 77.2% | 7461.86 | #2 | running | 76.9% | 2961.39 | #3 | running | 76.5% | 2886.64 | #4 | running | 76.5% | 3736.58 | #5 | running | 73.3% | 2956.98
2018-05-16 14:13:57.845765     | rainbow-agent:v7     | running | 4019.51 | #1 | running | 78.6% | 7459.41 | #2 | running | 78.4% | 2965.19 | #3 | running | 78.0% | 2898.58 | #4 | running | 78.0% | 3809.99 | #5 | running | 74.7% | 2964.37
2018-05-16 14:16:40.957041     | rainbow-agent:v7     | running | 4024.71 | #1 | running | 79.3% | 7462.40 | #2 | running | 79.2% | 2965.32 | #3 | running | 78.4% | 2908.83 | #4 | running | 78.5% | 3822.62 | #5 | running | 74.7% | 2964.37
2018-05-16 14:21:42.016453     | rainbow-agent:v7     | running | 4034.40 | #1 | running | 80.4% | 7467.47 | #2 | running | 80.3% | 2975.60 | #3 | running | 79.5% | 2917.86 | #4 | running | 79.3% | 3835.94 | #5 | running | 76.1% | 2975.12
2018-05-16 14:26:43.177009     | rainbow-agent:v7     | running | 4060.56 | #1 | running | 81.5% | 7472.26 | #2 | running | 81.4% | 2976.02 | #3 | running | 80.7% | 2923.63 | #4 | running | 80.5% | 3951.10 | #5 | running | 76.7% | 2979.78
2018-05-16 14:31:44.255603     | rainbow-agent:v7     | running | 4068.02 | #1 | running | 82.6% | 7471.73 | #2 | running | 82.3% | 2964.33 | #3 | running | 81.4% | 2930.65 | #4 | running | 81.6% | 3985.91 | #5 | running | 78.1% | 2987.47
2018-05-16 14:36:45.249249     | rainbow-agent:v7     | running | 4086.94 | #1 | running | 83.7% | 7476.34 | #2 | running | 83.5% | 2959.93 | #3 | running | 82.7% | 2936.33 | #4 | running | 82.8% | 4070.84 | #5 | running | 78.8% | 2991.27
2018-05-16 14:41:46.278697     | rainbow-agent:v7     | running | 4107.32 | #1 | running | 84.8% | 7479.44 | #2 | running | 84.5% | 2952.05 | #3 | running | 83.6% | 2940.26 | #4 | running | 83.8% | 4167.40 | #5 | running | 80.2% | 2997.47
2018-05-16 14:46:47.657533     | rainbow-agent:v7     | running | 4130.67 | #1 | running | 85.8% | 7483.52 | #2 | running | 85.8% | 2954.59 | #3 | running | 85.1% | 2950.60 | #4 | running | 85.0% | 4263.80 | #5 | running | 81.0% | 3000.84
2018-05-16 14:51:48.645088     | rainbow-agent:v7     | running | 4146.53 | #1 | running | 87.0% | 7487.33 | #2 | running | 86.9% | 2967.31 | #3 | running | 86.2% | 2955.99 | #4 | running | 85.9% | 4314.54 | #5 | running | 82.4% | 3007.48
2018-05-16 14:56:49.783883     | rainbow-agent:v7     | running | 4154.27 | #1 | running | 88.0% | 7491.33 | #2 | running | 87.9% | 2963.32 | #3 | running | 87.2% | 2957.16 | #4 | running | 87.2% | 4348.83 | #5 | running | 83.2% | 3010.71
2018-05-16 15:01:51.790612     | rainbow-agent:v7     | running | 4164.43 | #1 | running | 89.1% | 7495.69 | #2 | running | 89.0% | 2969.33 | #3 | running | 87.9% | 2957.94 | #4 | running | 88.3% | 4383.07 | #5 | running | 84.0% | 3016.10
2018-05-16 15:06:52.833320     | rainbow-agent:v7     | running | 4180.07 | #1 | running | 90.2% | 7500.11 | #2 | running | 90.1% | 2979.39 | #3 | running | 89.3% | 2964.56 | #4 | running | 89.4% | 4436.03 | #5 | running | 85.4% | 3020.23
2018-05-16 15:11:53.926088     | rainbow-agent:v7     | running | 4194.27 | #1 | running | 91.3% | 7504.20 | #2 | running | 91.2% | 2993.68 | #3 | running | 90.5% | 2974.29 | #4 | running | 90.5% | 4473.60 | #5 | running | 86.2% | 3025.59
2018-05-16 15:16:54.994913     | rainbow-agent:v7     | running | 4204.54 | #1 | running | 92.4% | 7508.12 | #2 | running | 92.3% | 3007.09 | #3 | running | 91.3% | 2974.22 | #4 | running | 91.5% | 4505.20 | #5 | running | 87.0% | 3028.07
2018-05-16 15:21:56.060040     | rainbow-agent:v7     | running | 4223.43 | #1 | running | 93.4% | 7511.66 | #2 | running | 93.4% | 3010.02 | #3 | running | 92.3% | 2977.67 | #4 | running | 92.3% | 4583.90 | #5 | running | 88.5% | 3033.89
2018-05-16 15:26:57.604015     | rainbow-agent:v7     | running | 4229.82 | #1 | running | 94.6% | 7515.84 | #2 | running | 94.4% | 3008.02 | #3 | running | 93.7% | 2989.25 | #4 | running | 93.6% | 4598.79 | #5 | running | 89.4% | 3037.17
2018-05-16 15:31:58.607870     | rainbow-agent:v7     | running | 4237.01 | #1 | running | 95.7% | 7519.79 | #2 | running | 95.6% | 3014.49 | #3 | running | 94.5% | 2993.20 | #4 | running | 94.6% | 4617.01 | #5 | running | 90.2% | 3040.57
2018-05-16 15:36:59.667138     | rainbow-agent:v7     | running | 4241.14 | #1 | running | 96.8% | 7524.13 | #2 | running | 96.6% | 3014.19 | #3 | running | 95.9% | 2991.99 | #4 | running | 95.5% | 4631.47 | #5 | running | 91.0% | 3043.93
2018-05-16 15:42:00.725863     | rainbow-agent:v7     | running | 4246.72 | #1 | running | 97.8% | 7522.47 | #2 | running | 97.7% | 3019.80 | #3 | running | 96.5% | 2991.66 | #4 | running | 96.9% | 4650.55 | #5 | running | 92.6% | 3049.12
2018-05-16 15:47:01.974827     | rainbow-agent:v7     | running | 4251.84 | #1 | running | 98.9% | 7521.01 | #2 | running | 98.6% | 3017.69 | #3 | running | 97.9% | 2994.99 | #4 | running | 97.6% | 4674.31 | #5 | running | 93.5% | 3051.22
2018-05-16 15:52:03.164562     | rainbow-agent:v7     | running | 4256.94 | #1 | finished |       | 7523.93 | #2 | running | 99.9% | 3021.56 | #3 | running | 98.9% | 2999.79 | #4 | running | 98.8% | 4685.06 | #5 | running | 94.3% | 3054.35
2018-05-16 15:57:04.202119     | rainbow-agent:v7     | running | 4257.67 | #1 | finished |       | 7523.93 | #2 | finished |       | 3021.56 | #3 | finished |       | 3003.30 | #4 | finished |       | 4683.19 | #5 | running | 95.1% | 3056.37
2018-05-16 16:02:05.391933     | rainbow-agent:v7     | running | 4258.11 | #1 | finished |       | 7523.93 | #2 | finished |       | 3021.56 | #3 | finished |       | 3003.30 | #4 | starting | N/A   | 4683.19 | #5 | running | 96.0% | 3058.57
2018-05-16 16:07:06.323657     | rainbow-agent:v7     | running | 4151.81 | #1 | finished |       | 7523.93 | #2 | finished |       | 3021.56 | #3 | finished |       | 3003.30 | #4 | running | N/A   | pending | #5 | running | 97.7% | 3058.45
